20150601 013600;1.095620;1.095620;1.095530;1.095530;0
20150601 013700;1.095540;1.095620;1.095500;1.095500;0
20150601 013800;1.095550;1.095550;1.095420;1.095550;0
20150601 013900;1.095540;1.095650;1.095530;1.095640;0
20150601 014000;1.095630;1.095630;1.095470;1.095510;0
20150601 014100;1.095500;1.095500;1.095230;1.095230;0
20150601 014200;1.095240;1.095400;1.095240;1.095390;0
20150601 014300;1.095380;1.095500;1.095300;1.095420;0
20150601 014400;1.095430;1.095440;1.095410;1.095440;0
20150601 014500;1.095450;1.095540;1.095430;1.095430;0
20150601 014600;1.095430;1.095480;1.095330;1.095480;0
20150601 014700;1.095500;1.095760;1.095430;1.095730;0
20150601 014800;1.095730;1.095980;1.095730;1.095730;0
20150601 014900;1.095730;1.095820;1.095630;1.095680;0
20150601 015000;1.095690;1.095750;1.095540;1.095720;0
20150601 015100;1.095720;1.095720;1.095620;1.095700;0
20150601 015200;1.095710;1.095730;1.095690;1.095690;0
20150601 015300;1.095660;1.095750;1.095620;1.095620;0
20150601 015400;1.095630;1.095760;1.095630;1.095720;0
20150601 015500;1.095730;1.095760;1.095610;1.095620;0
20150601 015600;1.095620;1.095620;1.095400;1.095430;0
20150601 015700;1.095440;1.095470;1.095440;1.095450;0
20150601 015800;1.095450;1.095510;1.095430;1.095510;0
20150601 015900;1.095520;1.095520;1.095330;1.095420;0
20150601 020000;1.095470;1.095760;1.095470;1.095610;0
20150601 020100;1.095580;1.095580;1.094860;1.095000;0
20150601 020200;1.095010;1.095030;1.094700;1.094700;0
20150601 020300;1.094700;1.094890;1.094510;1.094770;0
20150601 020400;1.094770;1.094820;1.094660;1.094660;0
20150601 020500;1.094670;1.094740;1.094120;1.094120;0
20150601 020600;1.094120;1.094340;1.093980;1.094330;0
20150601 020700;1.094330;1.094370;1.094240;1.094310;0
20150601 020800;1.094240;1.094540;1.094230;1.094460;0
20150601 020900;1.094450;1.094730;1.094320;1.094650;0
20150601 021000;1.094640;1.095100;1.094640;1.095030;0
20150601 021100;1.095040;1.095200;1.094970;1.095140;0
20150601 021200;1.095130;1.095190;1.094990;1.095040;0
20150601 021300;1.095040;1.095130;1.094990;1.095130;0
20150601 021400;1.095140;1.095260;1.094990;1.095000;0
20150601 021500;1.095010;1.095230;1.095000;1.095100;0
20150601 021600;1.095110;1.095140;1.095050;1.095130;0
20150601 021700;1.095130;1.095130;1.095010;1.095010;0
20150601 021800;1.095010;1.095160;1.095010;1.095120;0
20150601 021900;1.095120;1.095220;1.095020;1.095220;0
20150601 022000;1.095200;1.095320;1.095150;1.095150;0
20150601 022100;1.095160;1.095490;1.095160;1.095220;0
20150601 022200;1.095260;1.095310;1.095180;1.095310;0
20150601 022300;1.095320;1.095390;1.095140;1.095140;0
20150601 022400;1.095130;1.095450;1.095110;1.095360;0
20150601 022500;1.095350;1.095350;1.095210;1.095280;0
20150601 022600;1.095260;1.095260;1.095020;1.095020;0
20150601 022700;1.095030;1.095130;1.094760;1.094770;0
20150601 022800;1.094770;1.094860;1.094330;1.094430;0
20150601 022900;1.094450;1.094510;1.094200;1.094310;0
20150601 023000;1.094320;1.094490;1.094200;1.094490;0
20150601 023100;1.094490;1.094920;1.094450;1.094840;0
20150601 023200;1.094850;1.094960;1.094720;1.094920;0
20150601 023300;1.094910;1.095690;1.094870;1.095430;0
20150601 023400;1.095420;1.095640;1.095370;1.095510;0
20150601 023500;1.095500;1.096110;1.095420;1.095850;0
20150601 023600;1.095850;1.095850;1.095640;1.095640;0
20150601 023700;1.095620;1.095620;1.095190;1.095540;0
20150601 023800;1.095560;1.095580;1.095330;1.095350;0
20150601 023900;1.095360;1.095510;1.095340;1.095410;0
